Month,Turnover
1982 Apr,2.2
1982 May,2
1982 Jun,2
1982 Jul,2
1982 Aug,2
1982 Sep,2.2
1982 Oct,2.5
1982 Nov,2.9
1982 Dec,4.1
1983 Jan,2.1
1983 Feb,2.1
1983 Mar,2.2
1983 Apr,2.3
1983 May,2.3
1983 Jun,2.1
1983 Jul,2.3
1983 Aug,2.4
1983 Sep,2.4
1983 Oct,2.7
1983 Nov,3.2
1983 Dec,4.7
1984 Jan,2.1
1984 Feb,2.1
1984 Mar,2.3
1984 Apr,2.1
1984 May,2.2
1984 Jun,2.2
1984 Jul,2.3
1984 Aug,2.5
1984 Sep,2.6
1984 Oct,2.7
1984 Nov,3
1984 Dec,4.1
1985 Jan,2.5
1985 Feb,2.4
1985 Mar,2.4
1985 Apr,2.9
1985 May,3.1
1985 Jun,2.8
1985 Jul,3.2
1985 Aug,3.3
1985 Sep,3.2
1985 Oct,3.3
1985 Nov,3.6
1985 Dec,4.8
1986 Jan,3.5
1986 Feb,2.9
1986 Mar,4
1986 Apr,3.1
1986 May,3.5
1986 Jun,3
1986 Jul,4.2
1986 Aug,4.1
1986 Sep,4
1986 Oct,4
1986 Nov,4
1986 Dec,5.5
1987 Jan,3.4
1987 Feb,3.4
1987 Mar,3.8
1987 Apr,3.9
1987 May,4
1987 Jun,3.8
1987 Jul,3.9
1987 Aug,3.8
1987 Sep,4
1987 Oct,4.5
1987 Nov,4.1
1987 Dec,6.1
1988 Jan,3.7
1988 Feb,3.8
1988 Mar,4.3
1988 Apr,4.1
1988 May,4
1988 Jun,3.8
1988 Jul,3.7
1988 Aug,4.1
1988 Sep,4.6
1988 Oct,4.8
1988 Nov,4.9
1988 Dec,8.2
1989 Jan,4.2
1989 Feb,4.4
1989 Mar,4.4
1989 Apr,4.1
1989 May,4.3
1989 Jun,3.7
1989 Jul,3.8
1989 Aug,4
1989 Sep,4.8
1989 Oct,5.1
1989 Nov,4.8
1989 Dec,7.3
1990 Jan,4.3
1990 Feb,4.1
1990 Mar,4.3
1990 Apr,4.1
1990 May,4.3
1990 Jun,4
1990 Jul,4
1990 Aug,4
1990 Sep,4.2
1990 Oct,4.6
1990 Nov,4.8
1990 Dec,6.5
1991 Jan,4.3
1991 Feb,4.1
1991 Mar,4.4
1991 Apr,4.4
1991 May,4.3
1991 Jun,4.5
1991 Jul,4.5
1991 Aug,5
1991 Sep,5.3
1991 Oct,6.1
1991 Nov,6
1991 Dec,8.3
1992 Jan,5.2
1992 Feb,4.4
1992 Mar,5.5
1992 Apr,5.2
1992 May,5.2
1992 Jun,4.7
1992 Jul,5.1
1992 Aug,5.2
1992 Sep,5.6
1992 Oct,6.1
1992 Nov,5.7
1992 Dec,8.9
1993 Jan,4.9
1993 Feb,4.8
1993 Mar,5.5
1993 Apr,5.8
1993 May,6.1
1993 Jun,5.4
1993 Jul,5.5
1993 Aug,6.2
1993 Sep,6.2
1993 Oct,6
1993 Nov,6.8
1993 Dec,10.6
1994 Jan,5.2
1994 Feb,5.1
1994 Mar,6.5
1994 Apr,6.4
1994 May,5.9
1994 Jun,5.5
1994 Jul,6
1994 Aug,6.6
1994 Sep,7
1994 Oct,8.2
1994 Nov,7.7
1994 Dec,10.5
1995 Jan,5
1995 Feb,5.1
1995 Mar,5.8
1995 Apr,5.6
1995 May,5.5
1995 Jun,5.2
1995 Jul,4.5
1995 Aug,5.5
1995 Sep,5.9
1995 Oct,6.1
1995 Nov,6.2
1995 Dec,8.7
1996 Jan,5.1
1996 Feb,4.8
1996 Mar,5.3
1996 Apr,5.4
1996 May,5.3
1996 Jun,5
1996 Jul,5
1996 Aug,6
1996 Sep,6.3
1996 Oct,6.3
1996 Nov,7.2
1996 Dec,10.1
1997 Jan,5.9
1997 Feb,5.4
1997 Mar,6.5
1997 Apr,6.9
1997 May,7.3
1997 Jun,6.4
1997 Jul,6.4
1997 Aug,6.9
1997 Sep,6.1
1997 Oct,7.2
1997 Nov,7.6
1997 Dec,11.7
1998 Jan,7.9
1998 Feb,6.9
1998 Mar,6.5
1998 Apr,6.5
1998 May,6.9
1998 Jun,6.6
1998 Jul,7.8
1998 Aug,7.7
1998 Sep,7.3
1998 Oct,8.1
1998 Nov,7.9
1998 Dec,11.2
1999 Jan,6.1
1999 Feb,6.8
1999 Mar,7.7
1999 Apr,7.4
1999 May,8.1
1999 Jun,7.8
1999 Jul,9.1
1999 Aug,8.7
1999 Sep,8.5
1999 Oct,9.1
1999 Nov,9.1
1999 Dec,14
2000 Jan,6.8
2000 Feb,7.7
2000 Mar,8.4
2000 Apr,8.2
2000 May,8.9
2000 Jun,10.1
2000 Jul,8.7
2000 Aug,9.2
2000 Sep,9.3
2000 Oct,9.5
2000 Nov,10.3
2000 Dec,14.8
2001 Jan,7.9
2001 Feb,8
2001 Mar,9.2
2001 Apr,8.9
2001 May,9.6
2001 Jun,8.3
2001 Jul,9.4
2001 Aug,9.8
2001 Sep,10
2001 Oct,9.2
2001 Nov,10.3
2001 Dec,15.5
2002 Jan,8.3
2002 Feb,7.9
2002 Mar,9
2002 Apr,8.2
2002 May,8.4
2002 Jun,7.4
2002 Jul,7.9
2002 Aug,8.7
2002 Sep,9.4
2002 Oct,9.2
2002 Nov,10.8
2002 Dec,13.9
2003 Jan,6.5
2003 Feb,6.6
2003 Mar,7
2003 Apr,7.1
2003 May,7.3
2003 Jun,6.9
2003 Jul,7
2003 Aug,7.5
2003 Sep,8
2003 Oct,7.5
2003 Nov,8.8
2003 Dec,13.8
2004 Jan,8
2004 Feb,7.7
2004 Mar,7.9
2004 Apr,7.7
2004 May,7.6
2004 Jun,7.6
2004 Jul,7
2004 Aug,7.4
2004 Sep,7.6
2004 Oct,7.5
2004 Nov,8.1
2004 Dec,13.1
2005 Jan,6.7
2005 Feb,6.5
2005 Mar,6.6
2005 Apr,6.9
2005 May,7.5
2005 Jun,7.3
2005 Jul,7.6
2005 Aug,8
2005 Sep,8
2005 Oct,8.3
2005 Nov,9
2005 Dec,13.9
2006 Jan,7.7
2006 Feb,7.7
2006 Mar,8.3
2006 Apr,8.6
2006 May,9
2006 Jun,8.8
2006 Jul,9.2
2006 Aug,9.6
2006 Sep,10.2
2006 Oct,9.8
2006 Nov,10.4
2006 Dec,15.7
2007 Jan,8.7
2007 Feb,9.1
2007 Mar,10
2007 Apr,8.9
2007 May,9.2
2007 Jun,8.9
2007 Jul,8.5
2007 Aug,9.7
2007 Sep,9.5
2007 Oct,8.2
2007 Nov,8.8
2007 Dec,12.4
2008 Jan,8.2
2008 Feb,7.8
2008 Mar,7.9
2008 Apr,7.7
2008 May,8
2008 Jun,7.2
2008 Jul,7.3
2008 Aug,8.3
2008 Sep,8.1
2008 Oct,8.1
2008 Nov,9.3
2008 Dec,13.3
2009 Jan,7.9
2009 Feb,7.2
2009 Mar,7.7
2009 Apr,7.7
2009 May,8.6
2009 Jun,8
2009 Jul,7.8
2009 Aug,7.8
2009 Sep,7.7
2009 Oct,8.1
2009 Nov,8.7
2009 Dec,12.7
2010 Jan,6.9
2010 Feb,7
2010 Mar,7.5
2010 Apr,9
2010 May,8.5
2010 Jun,7.5
2010 Jul,7.1
2010 Aug,8.4
2010 Sep,7.7
2010 Oct,8.4
2010 Nov,9
2010 Dec,12.1
2011 Jan,7.5
2011 Feb,7.7
2011 Mar,8.6
2011 Apr,8.9
2011 May,9.3
2011 Jun,9.1
2011 Jul,9.8
2011 Aug,10.7
2011 Sep,10.4
2011 Oct,10.9
2011 Nov,11.6
2011 Dec,16.1
2012 Jan,9.2
2012 Feb,9.7
2012 Mar,10.6
2012 Apr,9.4
2012 May,10
2012 Jun,10
2012 Jul,9.4
2012 Aug,9
2012 Sep,8.7
2012 Oct,8.7
2012 Nov,9.9
2012 Dec,12.6
2013 Jan,8.5
2013 Feb,8.3
2013 Mar,9.1
2013 Apr,10.1
2013 May,10
2013 Jun,10.5
2013 Jul,11.1
2013 Aug,11.6
2013 Sep,11.1
2013 Oct,10.1
2013 Nov,11.8
2013 Dec,13.3
2014 Jan,9
2014 Feb,9.9
2014 Mar,10.2
2014 Apr,8.9
2014 May,9.7
2014 Jun,8.9
2014 Jul,10.1
2014 Aug,9.3
2014 Sep,10
2014 Oct,11.2
2014 Nov,12.2
2014 Dec,13.9
2015 Jan,10.8
2015 Feb,10
2015 Mar,10.8
2015 Apr,10.8
2015 May,11.4
2015 Jun,11.7
2015 Jul,12.7
2015 Aug,12.1
2015 Sep,12.6
2015 Oct,14.3
2015 Nov,15.2
2015 Dec,18.5
2016 Jan,13.6
2016 Feb,14
2016 Mar,15.1
2016 Apr,16.3
2016 May,17.4
2016 Jun,14.9
2016 Jul,16.7
2016 Aug,17.9
2016 Sep,17.9
2016 Oct,18.5
2016 Nov,19.9
2016 Dec,23.1
2017 Jan,16.4
2017 Feb,15.7
2017 Mar,16.8
2017 Apr,15.7
2017 May,17.6
2017 Jun,17.4
2017 Jul,17.2
2017 Aug,18.4
2017 Sep,17.8
2017 Oct,19.5
2017 Nov,21.7
2017 Dec,24.8
2018 Jan,18.3
2018 Feb,18.1
2018 Mar,19.4
2018 Apr,19.1
2018 May,20.7
2018 Jun,21.4
2018 Jul,21.8
2018 Aug,22.6
2018 Sep,20.8
2018 Oct,25.6
2018 Nov,25.2
2018 Dec,29.3
2019 Jan,21.4
2019 Feb,21.4
2019 Mar,22.5
2019 Apr,20.8
2019 May,21.8
2019 Jun,22.5
2019 Jul,23.4
2019 Aug,23.4
2019 Sep,22.5
2019 Oct,24.8
2019 Nov,28.1
2019 Dec,31.4
2020 Jan,24.7
2020 Feb,27
2020 Mar,30.4
2020 Apr,29.8
2020 May,30.6
2020 Jun,30.7
2020 Jul,32
2020 Aug,34.1
2020 Sep,31.7
2020 Oct,31.9
2020 Nov,35.4
2020 Dec,42.1
